login,org
anaarodriguez,ps-data-platform
arbarross,ps-data-platform;ps-customer
arodriguesbh,ps-data-platform;ps-corp-platform;ps-customer
carlosnicolaups,ps-data-platform;ps-rewards;ps-bank;ps-investments;ps-digital-payments;ps-wallet;pagbank;ps-financial-services;pagtrail;ps-store;ps-infra;registra-seguro;ps-mobileappchannel;ps-apichannel;ps-servicedeskchannel;pagseguro-tilix;ps-poschannel;ps-web-channel;ps-third-party-services;ps-corp-platform;ps-acquirer;ps-yami;ps-customer;ps-psp;developer-productivity;pagseguro-core
ctl-aportes,ps-data-platform;ps-customer;pagseguro-core
ctlfbezerra,ps-data-platform
ctljleite,ps-data-platform
ctlradorno,ps-data-platform;ps-corp-platform
danilooliveira88,ps-data-platform;ps-rewards;ps-bank;ps-investments;ps-digital-payments;ps-wallet;pagbank;ps-financial-services;pagtrail;ps-store;ps-infra;registra-seguro;ps-mobileappchannel;ps-apichannel;ps-servicedeskchannel;pagseguro-tilix;ps-poschannel;ps-web-channel;ps-third-party-services;ps-corp-platform;ps-acquirer;ps-yami;ps-customer;ps-psp;developer-productivity;pagseguro-core
dmarchetti,ps-data-platform;ps-bank;ps-investments;ps-digital-payments;ps-wallet;pagbank;ps-financial-services;pagtrail;ps-store;ps-infra;registra-seguro;ps-apichannel;ps-servicedeskchannel;pagseguro-tilix;ps-poschannel;ps-web-channel;ps-corp-platform;ps-acquirer;ps-yami;ps-customer;developer-productivity;pagseguro-core
efnascimento,ps-data-platform;ps-infra;ps-poschannel;ps-third-party-services;ps-corp-platform;ps-acquirer;ps-customer;ps-psp;pagseguro-core
feliperaa,ps-data-platform;ps-corp-platform
fpierin,ps-data-platform;pagbank;ps-web-channel;ps-corp-platform;ps-customer;ps-psp;developer-productivity;pagseguro-core
FragataF,ps-data-platform;ps-corp-platform;ps-customer
frobertomoura,ps-data-platform;pagseguro-core
gbeatriz,ps-data-platform;ps-customer
gleydson404,ps-data-platform;ps-customer;developer-productivity
GuiSacramento,ps-data-platform;ps-customer
GustaMarques,ps-data-platform;ps-corp-platform;ps-customer;ps-psp
ibastos1,ps-data-platform;ps-customer
jhocihara,ps-data-platform;ps-customer
klauber82,ps-data-platform
lbxavier,ps-data-platform
lnevesa,ps-data-platform;ps-bank;ps-customer
lucianofalmeida,ps-data-platform;ps-customer
lvolfe,ps-data-platform;ps-web-channel;ps-customer;developer-productivity;pagseguro-core
mbrandaopags,ps-data-platform;ps-infra;ps-psp
pagsdataplatform,ps-data-platform
palomabareli,ps-data-platform;ps-corp-platform;ps-customer;pagseguro-core
ps-josesouza,ps-data-platform;ps-servicedeskchannel;ps-web-channel;ps-corp-platform;ps-customer;ps-psp;developer-productivity;pagseguro-core
rafachr,ps-data-platform;ps-digital-payments
rafaluchetta,ps-data-platform
rbleite21,ps-data-platform;ps-corp-platform
rlchagas,ps-data-platform
robcastropags,ps-data-platform
rodrigogreg,ps-data-platform;pagbank;ps-corp-platform;ps-customer
romuniz,ps-data-platform;ps-bank;pagbank;ps-mobileappchannel;ps-apichannel
rtreto23,ps-data-platform;ps-corp-platform;ps-customer
s2itlpinto,ps-data-platform;ps-servicedeskchannel;ps-customer;ps-psp;developer-productivity;pagseguro-core
SerafimPAG,ps-data-platform;ps-corp-platform
sghonaim,ps-data-platform;ps-customer
svcaccjfrog,ps-data-platform;ps-rewards;ps-bank;ps-investments;ps-digital-payments;ps-wallet;pagbank;ps-financial-services;pagtrail;ps-store;ps-infra;registra-seguro;ps-mobileappchannel;ps-apichannel;ps-servicedeskchannel;pagseguro-tilix;ps-poschannel;ps-web-channel;ps-third-party-services;ps-corp-platform;ps-acquirer;ps-yami;ps-customer;ps-psp;developer-productivity;pagseguro-core
svcaccjirasdmaz,ps-data-platform;ps-rewards;ps-bank;ps-investments;ps-digital-payments;ps-wallet;ps-financial-services;pagtrail;ps-store;ps-infra;registra-seguro;ps-mobileappchannel;ps-apichannel;ps-servicedeskchannel;pagseguro-tilix;ps-poschannel;ps-web-channel;ps-third-party-services;ps-corp-platform;ps-acquirer;ps-yami;ps-customer;ps-psp;developer-productivity;pagseguro-core
svcaccPagsGithub,ps-data-platform
svcaccspinnaker,ps-data-platform;ps-rewards;ps-bank;ps-investments;ps-digital-payments;ps-wallet;pagbank;ps-financial-services;pagtrail;ps-store;ps-infra;registra-seguro;ps-mobileappchannel;ps-apichannel;ps-servicedeskchannel;pagseguro-tilix;ps-poschannel;ps-web-channel;ps-third-party-services;ps-corp-platform;ps-acquirer;ps-yami;ps-customer;ps-psp;developer-productivity;pagseguro-core
